c1;c2;c3;c4;c5;score_cv;score_test
4;9;0,6;0,5;0,8;0,79788975;0,813901345
4;9;0,6;0,6;0,8;0,80454525;0,813901345
4;9;0,7;0,6;0,8;0,8113635;0,813901345
4;9;0,7;0,9;0,5;0,82942375;0,813901345
4;9;0,8;0,8;0,4;0,79314125;0,813901345
4;9;0,8;0,8;0,6;0,7933035;0,813901345
4;9;0,9;0,8;0,8;0,804464375;0,813901345
4;9;0,9;0,9;0,8;0,831412375;0,813901345
4;10;0,2;0,9;0,9;0,81359575;0,813901345
4;10;0,6;0,5;0,6;0,7865665;0,813901345
4;10;0,6;0,5;0,8;0,79788975;0,813901345
4;10;0,6;0,6;0,8;0,80454525;0,813901345
4;10;0,7;0,6;0,6;0,79123375;0,813901345
4;10;0,7;0,6;0,8;0,797970625;0,813901345
4;10;0,7;0,8;0,4;0,802191625;0,813901345
4;10;0,8;0,8;0,4;0,8021915;0,813901345
4;10;0,9;0,9;0,4;0,80694;0,813901345
4;11;0,2;0,9;0,9;0,81359575;0,813901345
4;11;0,4;0,6;0,5;0,8226055;0,813901345
4;11;0,6;0,5;0,6;0,78883925;0,813901345
4;11;0,6;0,5;0,8;0,79788975;0,813901345
4;11;0,6;0,6;0,8;0,80454525;0,813901345
4;11;0,7;0,6;0,6;0,789001625;0,813901345
4;11;0,7;0,6;0,8;0,80020275;0,813901345
4;12;0,2;0,9;0,9;0,81359575;0,813901345
4;12;0,4;0,6;0,5;0,8226055;0,813901345
4;12;0,6;0,5;0,6;0,786607125;0,813901345
4;12;0,6;0,5;0,8;0,79788975;0,813901345
4;12;0,6;0,6;0,8;0,80454525;0,813901345
4;12;0,7;0,6;0,6;0,789001625;0,813901345
4;12;0,7;0,6;0,8;0,80020275;0,813901345
4;13;0,2;0,9;0,9;0,81359575;0,813901345
4;13;0,4;0,6;0,5;0,8226055;0,813901345
4;13;0,6;0,5;0,6;0,786607125;0,813901345
4;13;0,6;0,5;0,8;0,79788975;0,813901345
4;13;0,6;0,6;0,8;0,80454525;0,813901345
4;13;0,7;0,6;0,6;0,789001625;0,813901345
4;13;0,7;0,6;0,8;0,80020275;0,813901345
4;4;0,4;0,8;0,4;0,81797875;0,811659193
4;4;0,4;0,8;0,5;0,815706;0,811659193
4;4;0,4;0,8;0,6;0,824837625;0,811659193
4;4;0,4;0,8;0,7;0,824837625;0,811659193
4;4;0,4;0,8;0,8;0,822564875;0,811659193
4;4;0,4;0,8;0,9;0,82248375;0,811659193
4;4;0,4;0,9;0,6;0,82029225;0,811659193
4;4;0,4;0,9;0,7;0,81810075;0,811659193
4;4;0,5;0,4;0,8;0,795535625;0,811659193
4;4;0,5;0,5;0,7;0,795373375;0,811659193
4;4;0,5;0,5;0,8;0,7976055;0,811659193
4;4;0,6;0,6;0,8;0,811282375;0,811659193
4;4;0,6;0,6;0,9;0,8226055;0,811659193
4;4;0,8;0,6;0,8;0,804586;0,811659193
4;4;0,8;0,7;0,4;0,81785725;0,811659193
4;4;0,9;0,5;0,8;0,7954545;0,811659193
4;4;0,9;0,6;0,4;0,806737125;0,811659193
4;4;0,9;0,9;0,9;0,820251625;0,811659193
4;5;0,3;0,4;0,6;0,8157875;0,811659193
4;5;0,4;0,8;0,9;0,802313375;0,811659193
4;5;0,5;0,9;0,4;0,804586125;0,811659193
4;5;0,5;0,9;0,5;0,818100625;0,811659193
4;5;0,6;0,5;0,5;0,800081125;0,811659193
4;5;0,6;0,5;0,7;0,79549525;0,811659193
4;5;0,7;0,5;0,5;0,784375;0,811659193
4;5;0,7;0,8;0,4;0,80235375;0,811659193
4;5;0,7;0,8;0,8;0,811444625;0,811659193
4;5;0,7;0,8;0,9;0,81806;0,811659193
4;5;0,7;0,9;0,7;0,811282625;0,811659193
4;5;0,7;0,9;0,8;0,804464375;0,811659193
4;5;0,9;0,8;0,5;0,831534375;0,811659193
4;6;0,2;0,6;0,8;0,8045455;0,811659193
4;6;0,3;0,4;0,7;0,811282625;0,811659193
4;6;0,3;0,4;0,8;0,813514875;0,811659193
4;6;0,4;0,9;0,8;0,82702925;0,811659193
4;6;0,5;0,6;0,5;0,800040375;0,811659193
